,State,Population_Total,Renewable_MWh_Per_Capita
0,ACT,454499,0.1985768945586239
1,NSW,8072163,1.6677204114931772
2,NT,232605,0.053782162894176824
3,QLD,5156138,0.9205449892923735
4,SA,1781516,3.708706517370599
5,TAS,557571,18.21818566604074
6,VIC,6503491,1.4719013219207961
7,WA,2660026,1.3818240874337318
