,State,ff_GJ_r,ff_MWh_r,ff_GJ_nr,ff_MWh_nr,se_GJ_r,se_MWh_r,se_GJ_nr,se_MWh_nr,tt_GJ_r,tt_MWh_r,tt_GJ_nr,tt_MWh_nr
0,ACT,353180.0,98106.0,0.0,0.0,262812,73003,0.0,0.0,324911,90253,0.0,0.0
1,NSW,18196617.0,5054615.0,204681392.0,56855942.0,31078764,8632989,215375279.0,59826468.0,48463613,13462111,215375279.0,59826468.0
2,NT,38567.0,10713.0,8260711.0,2294642.0,35019,9728,8171061.0,2269737.0,45037,12510,8171061.0,2269737.0
3,QLD,3055380.0,848719.0,232887736.0,64691037.0,3428994,952498,243721905.0,67700531.0,17087240,4746457,243721905.0,67700531.0
4,SA,15651414.0,4347615.0,21009163.0,5835880.0,20505609,5696003,26466928.0,7351924.0,23785630,6607120,26466928.0,7351924.0
5,TAS,33763678.0,9378801.0,122165.0,33935.0,38196127,10610034,3047498.0,846527.0,36568551,10157932,3047498.0,846527.0
6,VIC,16489669.0,4580465.0,179722944.0,49923039.0,19521987,5422772,140919147.0,39144209.0,34460981,9572497,140919147.0,39144209.0
7,WA,6232388.0,1731221.0,82684869.0,22968019.0,7226731,2007427,82717752.0,22977155.0,13232481,3675688,82717752.0,22977155.0
