,Reporting_Entity,Facility_Name,State,Electricity_Production_GJ,Electricity_Production_MWh,Primary_Fuel,Year,Renewable
289,OZGEN HOLDINGS AUSTRALIA PTY LTD,Millmerran Power Station (facility),QLD,23865350.0,6629264.0,Black Coal,2014-2015,False
290,PELICAN POINT POWER LIMITED,Pelican Point Power Station,SA,3708417.0,1030116.0,Gas,2014-2015,False
291,POWER AND WATER CORPORATION,Katherine Region,NT,63066.0,17518.0,Multiple sources,2014-2015,False
292,POWER AND WATER CORPORATION,Northern (Darwin) Region,NT,224073.0,62243.0,Multiple sources,2014-2015,False
293,POWER AND WATER CORPORATION,Remote Centres Generation,NT,51189.0,14219.0,Multiple sources,2014-2015,False
294,POWER AND WATER CORPORATION,Southern Region,NT,100879.0,28022.0,Multiple sources,2014-2015,False
295,POWER GENERATION CORPORATION,Channel Island Power Station,NT,3520970.0,978047.0,Gas,2014-2015,False
296,POWER GENERATION CORPORATION,Katherine Power Station,NT,55966.0,15546.0,Gas,2014-2015,False
297,POWER GENERATION CORPORATION,Kings Canyon,NT,6202.0,1723.0,Solar,2014-2015,True
298,POWER GENERATION CORPORATION,Owen Springs Power Station,NT,286571.0,79603.0,Gas,2014-2015,False
299,POWER GENERATION CORPORATION,Ron Goodin Power Station,NT,334973.0,93048.0,Gas,2014-2015,False
300,POWER GENERATION CORPORATION,Tennant Creek Power Station,NT,109184.0,30329.0,Gas,2014-2015,False
301,POWER GENERATION CORPORATION,Weddell Power Station,NT,1576552.0,437931.0,Gas,2014-2015,False
302,POWER GENERATION CORPORATION,Yulara Power Station,NT,86710.0,24086.0,Gas/Diesel,2014-2015,False
303,PRATT CONSOLIDATED HOLDINGS PTY. LTD.,Visy Energy - Coolaroo Co-gen,VIC,57190.0,15886.0,Biofuel,2014-2015,True
304,RATCH - AUSTRALIA CORPORATION LIMITED,Kemerton Power Station,WA,302277.0,83966.0,Gas/Diesel,2014-2015,False
305,RATCH - AUSTRALIA CORPORATION LIMITED,Starfish Hill Wind Farm,SA,326963.0,90823.0,Wind,2014-2015,True
306,RATCH - AUSTRALIA CORPORATION LIMITED,Toora Wind Farm,VIC,186002.0,51667.0,Wind,2014-2015,True
307,RATCH - AUSTRALIA CORPORATION LIMITED,Townsville Power Station,QLD,290779.0,80772.0,Gas,2014-2015,False
308,RATCH - AUSTRALIA CORPORATION LIMITED,Windy Hill Wind Farm,QLD,112473.0,31243.0,Wind,2014-2015,True
309,REGIONAL POWER CORPORATION,Carnarvon Power Station,WA,165889.0,46080.0,Gas,2014-2015,False
310,REGIONAL POWER CORPORATION,Horizon Power Aggregated Minor Power Stations,WA,42232.0,11731.0,Diesel,2014-2015,False
311,REGIONAL POWER CORPORATION,South Hedland Temporary Generation Power Station,WA,215850.0,59958.0,Gas,2014-2015,False
312,RIO TINTO LIMITED,Paraburdoo Power Station,WA,2051703.0,569918.0,Gas,2014-2015,False
313,RIO TINTO LIMITED,West Angelas Power Station,WA,2247.0,624.0,Gas,2014-2015,False
314,RIO TINTO LIMITED,Yurralyi Maya Power Station,WA,3518017.0,977227.0,Gas,2014-2015,False
315,ROYALLA HOLDINGS ASSET PTY LTD,Royalla Solar Farm,ACT,49475.0,13743.0,Solar,2014-2015,True
316,SANTOS LTD,Wilga Park Power Station,NSW,194465.0,54018.0,Coal Seam Methane,2014-2015,False
317,SENVION HOLDINGS PTY LTD,Wonthaggi Wind Farm,VIC,102127.0,28369.0,Wind,2014-2015,True
318,SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Musselroe Wind Farm Pty Ltd,TAS,1900382.0,527884.0,Wind,2014-2015,True
319,SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Woolnorth Bluff point Wind Farm Pty Ltd,TAS,872765.0,242435.0,Wind,2014-2015,True
320,SHENHUA CLEAN ENERGY HOLDINGS PTY LTD,Woolnorth Studland Bay Wind Farm Pty Ltd,TAS,1008270.0,280075.0,Wind,2014-2015,True
321,SNOWTOWN SOUTH WIND FARM PTY. LTD.,SNOWTOWN SOUTH WIND FARM,SA,1538563.0,427379.0,Wind,2014-2015,True
322,SNOWTOWN WIND FARM PTY LTD,Snowtown Wind Farm,SA,1229676.0,341577.0,Wind,2014-2015,True
323,SNOWTOWN WIND FARM STAGE 2 PTY. LTD.,SNOWTOWN WIND FARM STAGE 2,SA,1493388.0,414830.0,Wind,2014-2015,True
324,SNOWY HYDRO LIMITED,Angaston Power Station,SA,5951.0,1653.0,Liquid Fuel,2014-2015,False
325,SNOWY HYDRO LIMITED,Colongra Power Station,NSW,7027.0,1952.0,Gas,2014-2015,False
326,SNOWY HYDRO LIMITED,HEZ Power Station,NSW,840.0,233.0,Diesel,2014-2015,False
327,SNOWY HYDRO LIMITED,Laverton North Power Station,VIC,4119.0,1144.0,Gas,2014-2015,False
328,SNOWY HYDRO LIMITED,Lonsdale/Port Stanvac Power Station,SA,13511.0,3753.0,Diesel,2014-2015,False
329,SNOWY HYDRO LIMITED,Snowy Hydro Ltd,NSW,9322679.0,2589633.0,Hydro,2014-2015,True
330,SNOWY HYDRO LIMITED,Valley Power,VIC,18715.0,5199.0,Gas,2014-2015,False
331,STANWELL CORPORATION LIMITED,Barron Gorge Power Station,QLD,625416.0,173727.0,Hydro,2014-2015,True
332,STANWELL CORPORATION LIMITED,Kareeya Power Station,QLD,1614214.0,448393.0,Hydro,2014-2015,True
333,STANWELL CORPORATION LIMITED,Mackay Gas Turbine,QLD,1049.0,291.0,Diesel,2014-2015,False
334,STANWELL CORPORATION LIMITED,Mica Creek Power Station,QLD,2316247.0,643402.0,Gas,2014-2015,False
335,STANWELL CORPORATION LIMITED,Stanwell Power Station,QLD,31516125.0,8754479.0,Black Coal,2014-2015,False
336,STANWELL CORPORATION LIMITED,Swanbank E Power Station,QLD,3430389.0,952886.0,Gas,2014-2015,False
337,STANWELL CORPORATION LIMITED,Tarong Power Stations,QLD,27422475.0,7617354.0,Black Coal,2014-2015,False
338,SYNERGEN POWER PTY LIMITED,Dry Creek Power Station,SA,17591.0,4886.0,Gas,2014-2015,False
339,SYNERGEN POWER PTY LIMITED,Mintaro Power Station,SA,25681.0,7134.0,Gas,2014-2015,False
340,SYNERGEN POWER PTY LIMITED,Port Lincoln Power Station,SA,1386.0,385.0,Diesel,2014-2015,False
341,SYNERGEN POWER PTY LIMITED,Snuggery Power Station,SA,1350.0,375.0,Diesel,2014-2015,False
342,TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kalgoorlie Power Station,WA,581978.0,161661.0,Gas,2014-2015,False
343,TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kambalda Power Station,WA,651671.0,181020.0,Gas,2014-2015,False
344,TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Leinster Power Station,WA,1011064.0,280851.0,Gas/Diesel,2014-2015,False
345,TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Mt Keith Power Station,WA,1106066.0,307241.0,Gas,2014-2015,False
346,TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Solomon Power Station,WA,864667.0,240185.0,Gas/Diesel,2014-2015,False
347,WATER CORPORATION,Cocos Keeling Islands Generation,WA,20311.0,5642.0,Liquid Fuel,2014-2015,False
348,WORLEYPARSONS LIMITED,Exmouth Power Station,WA,81850.0,22736.0,Gas,2014-2015,False
