,Reporting_Entity,Facility_Name,State,Electricity_Production_GJ,Electricity_Production_MWh,Primary_Fuel,Year,Lat,Lng,Renewable
1,ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,NSW,575522,159867,Wind,2020-2021,-34.6905625,149.4270092,True
2,ACCIONA ENERGY OCEANIA PTY LTD,Mt Gellibrand Wind Farm,VIC,1018498,282916,Wind,2020-2021,-38.2327778,143.7922222,True
3,ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,VIC,2339624,649896,Wind,2020-2021,-37.3946388,143.6386011,True
5,ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Adani Rugby Run Solar Farm,QLD,587856,163293,Solar,2020-2021,-22.575197,144.0847926,True
7,AGL ENERGY LIMITED,Banimboola Hydro,VIC,7240,2011,Hydro,2020-2021,-36.5335771,147.4603458,True
8,AGL ENERGY LIMITED,Barker Inlet Power Station,SA,1391597,386555,Gas,2020-2021,-34.8043219,138.5249106,False
9,AGL ENERGY LIMITED,Bayswater Power Station,NSW,51517714,14310476,Black Coal,2020-2021,-32.3925781,150.9490509,False
10,AGL ENERGY LIMITED,Bogong Power Station,VIC,314481,87356,Hydro,2020-2021,-36.8057885,147.2281158,True
11,AGL ENERGY LIMITED,Broken Hill Solar Plant,NSW,408929,113591,Solar,2020-2021,-31.985972,141.3929982,True
13,AGL ENERGY LIMITED,Copeton Hydro,NSW,33585,9329,Hydro,2020-2021,-29.8466241,150.8866281,True
14,AGL ENERGY LIMITED,Dartmouth Hydro,VIC,153275,42576,Hydro,2020-2021,-36.5324694,147.4961766,True
15,AGL ENERGY LIMITED,Eildon Hydro,VIC,401140,111428,Hydro,2020-2021,-37.2345677,145.9089916,True
16,AGL ENERGY LIMITED,Glenbawn Hydro,NSW,123,34,Hydro,2020-2021,-32.1080329,150.985732,True
21,AGL ENERGY LIMITED,Hunter Valley Gas Turbines,NSW,0,0,Gas,2020-2021,-32.1932173,151.700565,False
22,AGL ENERGY LIMITED,Kwinana Swift Power Station,WA,124238,34511,Gas,2020-2021,-32.2320792,115.7787256,False
23,AGL ENERGY LIMITED,Liddell Power Station,NSW,26305616,7307116,Black Coal,2020-2021,-32.3715056,150.9773385,False
24,AGL ENERGY LIMITED,Loy Yang Power Station and Mine,VIC,59031839,16397733,Brown Coal,2020-2021,-38.2537069,146.5756631,False
25,AGL ENERGY LIMITED,Macarthur Wind Farm,VIC,2641871,733853,Wind,2020-2021,-38.0490795,142.1915163,True
26,AGL ENERGY LIMITED,McKay Creek Hydro,VIC,386791,107442,Hydro,2020-2021,45.5250549,-123.0049896,True
27,AGL ENERGY LIMITED,Nyngan Solar Plant,NSW,840121,233367,Solar,2020-2021,-31.5662057,147.0707349,True
28,AGL ENERGY LIMITED,Oaklands Hill Wind Farm,VIC,630310,175086,Wind,2020-2021,-37.683252,142.551115,True
29,AGL ENERGY LIMITED,Rubicon Hydro Scheme,VIC,0,0,Hydro,2020-2021,-37.3259849,145.8614196,True
30,AGL ENERGY LIMITED,Silverton Wind Farm,NSW,2826436,785121,Wind,2020-2021,-31.86094989999999,141.2963491,True
32,AGL ENERGY LIMITED,Torrens Island Power Station,SA,6008329,1668980,Gas,2020-2021,-34.8065986,138.5231933,False
33,AGL ENERGY LIMITED,Wattle Point Wind Farm,SA,950951,264153,Wind,2020-2021,-35.1117422,137.7212617,True
35,AGL ENERGY LIMITED,Yarrawonga Hydro,VIC,156774,43548,Hydro,2020-2021,-36.0260723,146.0003241,True
36,AGL ENERGY LIMITED,Burrendong Hydro,NSW,43303,12029,Hydro,2020-2021,-32.6801776,149.1386215,True
37,AGL ENERGY LIMITED,Pindari Hydro,NSW,0,0,Hydro,2020-2021,-29.515155,151.288486,True
39,ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,WA,5739815,1594393,Gas,2020-2021,-32.6462926,115.9464342,False
41,APT PIPELINES LIMITED,Badgingarra Solar Farm,WA,108451,30125,Solar,2020-2021,-30.3988319,115.5547078,True
42,APT PIPELINES LIMITED,Badgingarra Wind Farm,WA,1701835,472732,Wind,2020-2021,-30.4100818,115.3200753,True
43,APT PIPELINES LIMITED,Daandine Power Station,QLD,406375,112882,Coal Seam Methane,2020-2021,-27.0861935,150.9425679,False
44,APT PIPELINES LIMITED,Darling Downs Solar Farm,QLD,755182,209773,Wind,2020-2021,-27.1212889,150.8943801,True
45,APT PIPELINES LIMITED,Diamantina Power Station,QLD,6884574,1912382,Gas,2020-2021,-20.7830295,139.4829711,False
46,APT PIPELINES LIMITED,Emu Downs Solar Farm,WA,173545,48207,Solar,2020-2021,-30.48468,115.415795,True
47,APT PIPELINES LIMITED,Emu Downs Wind Farm,WA,883949,245541,Wind,2020-2021,-30.4756515,115.381241,True
49,ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,QLD,1475610,409892,Coal Seam Methane,2020-2021,-27.1107842,150.9054673,False
51,ATCO AUSTRALIA PTY LTD,Karratha Power Station,WA,513078,142522,Gas,2020-2021,-20.7336955,116.8447057,False
56,BALD HILLS WF HOLDINGS PTY LTD,Bald Hills Wind Farm Pty Ltd,VIC,1228860,341350,Wind,2020-2021,-38.7478299,145.9494813,True
58,BEI WWF PTY LTD,Warradarge Wind Farm,WA,1797588,499330,Wind,2020-2021,-30.0578671,115.3296682,True
60,BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,Gullen Solar Pty Ltd,NSW,67807,18835,Solar,2020-2021,-34.605567,149.4626469,True
61,BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,New Gullen Range Wind Farm Pty Ltd,NSW,1818406,505113,Wind,2020-2021,-33.863638,151.2049168,True
62,BEIJING JINGNENG CLEAN ENERGY (AUSTRALIA) HOLDING PTY LTD,Newtricity Developments Biala Pty Ltd,NSW,311838,86622,Wind,2020-2021,-34.6217632,149.2364477,True
64,BHP GROUP LIMITED,Yarnima Power Station,WA,2691050,747514,Gas,2020-2021,-23.3435575,119.7109647,False
66,BLUEWATERS POWER 1 PTY LTD,Bluewaters Power 1,WA,5808996,1613610,Black Coal,2020-2021,-33.3297691,116.2265472,False
68,BLUEWATERS POWER 2 PTY LTD,Bluewaters Power 2,WA,6083427,1689841,Black Coal,2020-2021,-33.3297691,116.2265472,False
70,C S ENERGY LIMITED,Callide B Power Station,QLD,11317007,3143613,Black Coal,2020-2021,-24.2927187,150.4933758,False
71,C S ENERGY LIMITED,Callide C Power Station,QLD,18205965,5057213,Black Coal,2020-2021,-24.2927187,150.4933758,False
72,C S ENERGY LIMITED,Kogan Creek Power Station,QLD,18428566,5119046,Black Coal,2020-2021,-26.9146137,150.746994,False
74,CAPE BYRON MANAGEMENT PTY LTD,Broadwater Power Plant,NSW,698416,194005,Bagasse,2020-2021,-29.0145838,153.4300366,True
75,CAPE BYRON MANAGEMENT PTY LTD,Condong Power Plant,NSW,593907,164974,Bagasse,2020-2021,-28.3117883,153.4363815,True
79,CECEP WIND POWER AUSTRALIA HOLDING PTY LTD,White Rock Wind Farm Pty Ltd,NSW,1825006,506946,Wind,2020-2021,-29.7624218,151.5447433,True
81,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Appin CSM Power Station,NSW,899023,249729,Waste Coal Mine Gas,2020-2021,-34.200914,150.7874904,False
82,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Ardyaloon Facility,WA,7351,2042,Diesel,2020-2021,-16.4469782,123.0597129,False
83,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Beagle Bay Facility,WA,6767,1880,Diesel,2020-2021,-16.9830116,122.6651831,False
84,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Belrose LFG Power Station,NSW,349,97,Landfill Gas,2020-2021,-33.72828990000001,151.2179132,True
85,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Berwick LFG Power Station,VIC,34600,9611,Landfill Gas,2020-2021,-38.0309443,145.3437469,True
86,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Bidyadanga Facility,WA,10339,2872,Diesel,2020-2021,-18.6844063,121.7777973,False
87,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Broadmeadows LFG Power Station,VIC,42580,11828,Landfill Gas,2020-2021,-37.6858788,144.9246674,True
88,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Brooklyn LFG Power Station,VIC,29263,8129,Landfill Gas,2020-2021,-37.8173492,144.8465361,True
89,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Broome LNG Power Station,WA,499610,138780,Gas,2020-2021,-17.96182,122.236998,False
90,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Browns Plains LFG Power Station,QLD,55301,15361,Landfill Gas,2020-2021,-27.6624358,153.0527734,True
91,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Clayton LFG Power Station,VIC,294790,81886,Landfill Gas,2020-2021,-37.9145479,145.127492,True
