,Reporting_Entity,Facility_Name,State,Electricity_Production_GJ,Electricity_Production_MWh,Primary_Fuel,Year,Lat,Lng,Renewable
189,ENERGYAUSTRALIA HOLDINGS LIMITED,Newport Power Station,VIC,3666804,1018557,Gas,2017-2018,-37.8411815,144.8944409,False
190,ENERGYAUSTRALIA HOLDINGS LIMITED,Tallawarra Power Station,NSW,5286970,1468603,Gas,2017-2018,-34.5224899,150.8082317,False
191,ENERGYAUSTRALIA HOLDINGS LIMITED,Waterloo Wind Farm,SA,329504,91529,Wind,2017-2018,-34.00106030000001,138.9110041,True
192,ENERGYAUSTRALIA HOLDINGS LIMITED,Yallourn Power Station,VIC,36860112,10238920,Brown Coal,2017-2018,-38.1814386,146.3479385,False
194,ERM POWER LIMITED,Newgen Neerabup Power Station,WA,916383,254551,Gas,2017-2018,-31.6711775,115.801039,False
195,ERM POWER LIMITED,Oakey Power Station,QLD,268495,74582,Gas,2017-2018,-27.4182658,151.6810198,False
197,ESPERANCE POWER STATION PTY LTD,Esperance Power Station,WA,249660,69350,Gas,2017-2018,-33.8613953,121.8912724,False
199,ESSENTIAL ENERGY,Essential Energy Generation Facility - Broken Hill Gas Turbine,NSW,378,105,Diesel,2017-2018,-31.9595859,141.4608138,False
201,FENGATE EXMOUTH ENERGY SPV PTY LTD,Exmouth Power Station Pty Ltd,WA,90569,25158,Gas,2017-2018,-21.9323088,114.1278654,False
203,FORTESCUE METALS GROUP LTD,Solomon Power Station,WA,666413,185115,Gas,2017-2018,-27.6728168,121.6283098,False
207,GOLDFIELDS POWER PTY LTD,Parkeston Power Station,WA,595231,165342,Gas,2017-2018,-30.7269451,121.4974951,False
209,HYDRO POWER PTY LIMITED,Wyangala A,NSW,217905,60529,Hydro,2017-2018,-33.9626487,148.9542551,True
210,HYDRO POWER PTY LIMITED,Wyangala B,NSW,10894,3026,Hydro,2017-2018,-33.9626487,148.9542551,True
212,HYDRO-ELECTRIC CORPORATION,Bastyan Hydro Power Station,TAS,1293382,359273,Hydro,2017-2018,-41.7360047,145.5318835,True
213,HYDRO-ELECTRIC CORPORATION,Butlers Gorge Hydro Power Station,TAS,289013,80281,Hydro,2017-2018,-42.28059469999999,146.3151456,True
214,HYDRO-ELECTRIC CORPORATION,Catagunya Hydro Power Station,TAS,834113,231698,Hydro,2017-2018,-42.4376122,146.5621389,True
215,HYDRO-ELECTRIC CORPORATION,Cethana Hydro Power Station,TAS,1535178,426438,Hydro,2017-2018,-41.4767384,146.1328194,True
