,State,Median_Income,Renewable_MWh_Per_Capita
0,ACT,1203,0.1985768945586239
1,NSW,813,1.6677204114931772
2,NT,936,0.053782162894176824
3,QLD,787,0.9205449892923735
4,SA,734,3.708706517370599
5,TAS,701,18.21818566604074
6,VIC,803,1.4719013219207961
7,WA,848,1.3818240874337318
